FID,osm_id,power_substation,tags,geom
all_transmission_substations.194387,575693214,substation,{},POINT (815186.9818593275 564737.8269715597)
all_transmission_substations.195249,575694247,substation,{},POINT (818820.6947028127 568498.0838506605)
all_transmission_substations.198052,334825256,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""330000""}",POINT (854993.3971031802 574417.2944570909)
all_transmission_substations.202545,450633665,substation,{},POINT (785873.4493710608 611062.4792384735)
all_transmission_substations.202546,564465397,substation,{},POINT (785998.6382107325 611091.8595593367)
all_transmission_substations.206888,553566990,substation,{},POINT (829779.3944445145 614693.0372781866)
all_transmission_substations.212197,564430565,substation,{},POINT (928487.9033000205 565119.1308227517)
all_transmission_substations.212198,564430566,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""330000;132000""}",POINT (928314.9753285394 565173.8388808343)
all_transmission_substations.212774,564429999,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""330000""}",POINT (921088.1517973598 578622.4140411059)
all_transmission_substations.227103,434338032,substation,{},POINT (371188.2741171062 716532.8507668114)
all_transmission_substations.239995,549391509,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""132000""}",POINT (376199.74430116545 721603.7407356054)
all_transmission_substations.242260,706082453,substation,"{""substation"":""transmission""}",POINT (372550.47831395693 724571.6537366364)
all_transmission_substations.242274,706082455,substation,"{""substation"":""transmission""}",POINT (372731.3660859154 724601.3567941437)
all_transmission_substations.243915,543998052,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""132000""}",POINT (380898.5787162375 720890.1806778082)
all_transmission_substations.259890,643481482,substation,{},POINT (390009.6655843961 717890.3775230168)
all_transmission_substations.260079,625147479,substation,{},POINT (386971.9760328255 719259.0136014784)
all_transmission_substations.264413,108020974,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""330000""}",POINT (361556.17479833897 736686.5176586139)
all_transmission_substations.264415,564441302,substation,{},POINT (361841.32035673875 736748.4459615549)
all_transmission_substations.264434,108020976,substation,"{""fixme"":""name,frequency,operator,voltage""}",POINT (356989.1822896869 742458.2767017359)
all_transmission_substations.266485,741343396,substation,{},POINT (371328.0325601747 738373.2442916671)
